,Text,Response
147,"Машина Супер, красивая, удобная, на дорогах устойчивая комфортная не стыдно на такой ездить даже в гости. Хоть у меня и Дизель но едет очень достойно. Расход маленький. Не смотря на возраст этот автомобиль очень сильно превосходит даже даже многие современные авто. У BMW очень большая история и e39 я считаю одна из самых удачный 5рок. Только это марка может доставлять удовольствие от вождения. Может показать характер владельца. Это машина очень мягкая и практически не требует вложений! Машина бомба! Это была моя мечта детства и наконец то я ей купил! Можно много написать об автомобиле но я ограничусь фразой: чёрт возьми-ЭТО BMW! ","
машина: Супер, красивая, удобная, на дорогах устойчивая комфортная: положительно 
дизель: едет очень достойно: положительно 
расход: маленький: положительно 
возраст: очень сильно превосходит даже даже многие современные авто: положительно 
машина: мягкая и практически не требует вложений: положительно 
машина: бомба: положительно "
152,"Peugeot 308 машина является зарубежным аналогом отечественной Лада 2114, но намного лучшим аналогом, поскольку обладает мотором по мощнее (112 лошадок)и по экономичнее (в среднем 7-8 литров при смешаном типе езди ). Но есть и минусы, например: водитель тупо не видит капота, расстояние от передних колес до конца передней части довольно велико, из-за этого при спуски с горки и попадании в яму можно зацепить передний бампер. Также машина не очень вместительная, места на задних сидениях мало, багажник довольно мал, обзор сзади мал (это доставляет большие неудобства при езде задом). Коробка автомат слишком ""тупая"", при нажатии на газ (при резком нажатии) слишком долго ""думает"", также если пользоваться спортивным режимом то вже через несколько тис. км. нужно ремонтировать двигатель. Салон собран качественно, но и здесь есть недостаток, а именно слышно как болтается бензин в баке.","
мотор: мощный, экономичный: положительно 
водитель: не видит капота: негативно 
передние колеса: до конца передней части довольно велико: негативно 
подвеска: можно зацепить передний бампер: негативно 
машина: не очень вместительная: негативно 
багажник: довольно мал: негативно 
обзор сзади: мал: негативно 
коробка автомат: слишком ""тупая"": негативно 
двигатель: после нескольких тыс. км. нужно ремонтировать: негативно 
салон: собран качественно: положительно 
бензин: слышно как болтается в баке: негативно"
155,"О плюсах и говорить нечего, красивый даже сказала бы шикарный, безопасный, комфортный, дешевый в обслуживании, динамичный, и бла бла бла куча других преимуществ. Вообще не каждая машина такого класса может такое предложить. Но всегда есть недостатки. И первое что бросается в глаза это высота там тесно даже не высокому человеку. Лично я 1,8 м. а в потолок упираюсь. Второе, что мне не понравилось это пластик, уж очень он маркий я вроде аккуратно а уже поцарапало в старой машине такого не было и пачкается он очень быстро. Потом заметно качество обивки, чехлы на неё обязательно нужны. Еще не только меня но и всех владельцев солярис, смущает, что сборка русская, но пока ни каких проблем не было. Хотя я её пользуюсь всего 3 месяца. Поглядим что дальше будет. ","
машина: красивая, безопасная, комфортная, дешевая в обслуживании, динамичная: положительно 
высота: тесно: негативно 
пластик: маркий, пачкается быстро: негативно 
сборка: русская: нейтрально"
156,"По внешнему виду очень уж напоминает Хонду, или БМВ, но все равно очень красиво, создает образ хищника на дороге, такому авто даже серым быть к лицу. Внутри салон шикарный, хоть и маленький, но дизайнеры постарались визуально расширить границы. Передняя панель напоминает Опель все также эргономичное и удобно. Немного разочаровывают сиденья, они удобны только для среднего человека, а задние сиденья слишком низкие, хотя место для ног там достаточно для среднего человека, но встать с них трудно и ему. Багажник конечно маленький, но что еще можно ожидать от седана, конечно, он маленький, но вот проем можно было бы сделать по шире. Подвеска вообще слишком жёсткая. Куда на ней по нашем то дорогам. Сильно разочаровывает владельцев Шеврале разгон, это совсем не то что ожидалось, он машине дается с трудом. ","
внешний вид: напоминает Хонду, БМВ: нейтрально
салон: шикарный: положительно 
передняя панель: напоминает Опель: положительно 
сиденья: удобны только для среднего человека: негативно 
задние сиденья: слишком низкие: негативно 
багажник: маленький: негативно 
подвеска: жёсткая: негативно 
разгон: сдается с трудом: негативно"
158,"Являюсь совладельцем данной машиной с отцом, номинальный хозяин он. Если говорить про саму машину, то она весьма добротная с удобной посадкой. Очень просторный салон, не хуже, чем во многих кроссоверах. А вот багажник откровенно огорчает, он очень маленький. На дороге машина весьма юркая, хотя двигателю откровенно не хватает тяги, да и подвеска могла бы быть более энергоёмкой. Но за такие деньги, всё весьма неплохо. Мощные двигатели удел дорогих машин, а энергоёмкая подвеска удел кроссоверов. Машина идеально подойдёт семейным людям, которые привыкли к размеренной спокойной езде, к экономии топлива. Для этого в машине есть всё, мягкая подведска, хорошая плавность хода, экономичные двигатели.","
машина: добротная: положительно 
посадка: удобная: положительно 
салон: просторный: положительно 
багажник: маленький: негативно 
ходовка: юркая: положительно 
двигатель: не хватает тяги: негативно 
подвеска: могла бы быть более энергоёмкой: негативно 
машина: идеально подойдёт семейным людям: положительно 
подвеская: мягкая: положительно 
плавность хода: хорошая: положительно 
двигатель: экономичный: положительно "
161,"Машина неплохая, выдается из всех моделей ВАЗа за все времена, двигатель хороший. Страдает шумоизоляция, качество покраски, качество деталей и сама сборка... такое впечатление, что собирают за углом рукосуи с применением мата и молотка... Отберите у конструкторов топор в конце концов! ","
машина: неплохая: положительно 
двигатель: хороший: положительно 
шумоизоляция: страдает: негативно 
покраска: плохая: негативно 
качество деталей: плохие: негативно 
сборка: плохая: негативно"
162,"Купил я себе новый Opel Insigna 1.8 недавно и не жалею. Начнем с плюсов данной машины. Очень понравилась жесткая подвеска. Заводиться сразу в -30 градусов без проблем. Салон прогревается моментально. Огромный размер багажника в отличии от других Хэтчбэк. Очень хороший дизайн салона, нечего не где не отваливаться не стучит, но впрочем это же Opel они не когда не экономили на обделке салона. Также обрадовал сенсорный дисплей. Теперь перейдем к минусам. В сильные морозы двери примерзают и плохо открываются. Очень прожорливый двигатель в плане масла и бензина. В заде хоть и стоит 3 сиденья но место для 3 там нету. Датчик показывает неправильное давление в шинах. Низкая посадка.","
подвеска: жесткая: положительно 
заводиться: в -30 градусов: положительно 
салон: прогревается моментально: положительно 
багажник: огромный: положительно 
дизайн салона: хороший: положительно 
сенсорный дисплей: обрадовал: положительно 
двери: примерзают: негативно 
двигатель: прожорливый: негативно 
место в заде: недостаточно: негативно 
датчик: показывает неправильное давление: негативно 
посадка: низкая: негативно"
164,"О плюсах автомобиля. Доступные запчасти, можно найти в любом городе, в любом гараже, где занимаются машинами. Машина хорошая, только на дальнюю дорогу, бензин на трассе просто нюхает, в городском режиме расход топлива резко подскакивает. Хорошая подвеска и высокий клиренс. В обслуживании неприхотлив. Слабый двигатель, не тянет больше 3000 оборотов, очень слабая динамика. Плохо расставлены коэффициенты в коробке передач. Очень слабая рулевая рейка, требует постоянного ремонта после каждой серьезной ямы, которые не редко встречаются на дорогах. Очень плохой металл, ржавеет моментально. Плохая шумоизоляция. Подойдет как первая машина, сам сломал сам починил.","запчасти: доступные: положительно 
городской режим: расход топлива резко подскакивает: негативно 
подвеска: хорошая: положительно
клиренс: высокий: положительно
обслуживание: неприхотлив: положительно 
двигатель: слабый: негативно 
динамика: очень слабая: негативно 
коробка передач: плохо расставлены коэффициенты: негативно 
рулевая рейка: очень слабая: негативно 
металл: плохой: негативно 
шумоизоляция: плохая: негативно"
165,"Ваз 2112 - наша первая машина, на которой мы с мужем ездили всего 2 месяца. Качество автомобиля оставляло желать лучшего (была украинская сборка). Муж у меня небольшого роста, поэтому ему салон показался слишком большим, испытывал неудобство при вождении, хотя для кого-то это может быть и плюсом. У авто неплохой дизайн, но чего-то все-таки не хватает, требует доработки инженеров, особенно ужасно автомобиль смотрится без спойлера, который почему-то не входит в стандартную комплектацию. И цена хоть и небольшая по сравнению с другими авто, но у данного производителя за такие деньги я бы предпочла купить другой ВАЗ!!! ","
качество автомобиля: оставляло желать лучшего: негативно 
салон: большой: нейтрально
дизайн: неплохой: положительно 
цена: небольшая: положительно"
166,"Отличный автомобиль для своих годов. Ездим на нем три года и ни разу не пожалели, что купили его. Автомобиль надежный, легкий в управлении, печь работает на отлично, в 30 градусный мороз ездим в нем в футболках, легко заводится с автозапуска в любое время года. В салоне много места и комфортно, салон светлый велюровый, легко чистится. Все расходные материалы вполне доступны по цене. Ездим на нем часто и много и достаточно далеко, но автомобиль никогда нас не подводил. Единственный минус это большой расход топлива и достаточно высокий налог на него из-за присутствующих в нем 160 лошадиных сил, а так очень даже отличный автомобиль. ","
автомобиль: надежный, легкий в управлении: положительно 
печь: работает на отлично: положительно 
салон: много места, комфортно, легко чистится: положительно 
расходные материалы: доступны по цене: положительно 
автомобиль: никогда не подводил: положительно 
расход топлива: большой: негативно 
налог: высокий: негативно"
170,"Возможно мне не повезло и я купил плохой экземпляр, однако многие мои друзья тоже жаловались на авто данной модели. Ужасная подвеска в которую постоянно нужно вкладывать деньги. Запчасти дорогие. Расход бензина неоправданно велик. Владел три года, за это время два раза перебирал подвеску. Под конец моей эксплуатации стало дёргать коробку переключения передач ( у меня была АКПП). Ломался стартер. Обслуживал своевременно в хорошем и проверенном автосервисе. Если посчитать за все эти три года мои убытки, то в результате недолгого подсчёта можно понять, что я мог бы купить себе авто в разы лучше, чем этот. Вывод: не советую. ","
машина: Ужасная подвеска: негативно 
запчасти: дорогие: негативно 
расход бензина: велик: негативно 
коробка переключения передач: дёргается: негативно 
стартер: ломается: негативно"
176,"Машина была куплена в сентябре 2009 года. Покупалась она в салоне города Москва. Из дополнительных услуг в ней уже стояла сигнализация, подкрылки и обработка дна. За два года эксплуатации уже меняли по гарантии стеклоподъёмники, главный блок управления, систему открывания багажника. С машиной обращение аккуратное, прошла 24000 км. Даже по сравнению с ладой двенадцатой модели показывает себя хуже!!! При езде пластик в салоне дребезжит, задние ремни безопасности очень трудно вытягиваются и внутренние дверные ручки (к стати сделанные из пластика) выскакивают из гнёзд. Качество автомобиля не соответствует цене. Реально лучше купить иномарку старше годами, но качество будет многим лучше. Ребята лучше эту машину не брать! ","
пластик: дребезжит: негативно 
ремни безопасности: трудно вытягиваются: негативно 
дверные ручки: выскакивают из гнёзд: негативно 
качество автомобиля: не соответствует цене: негативно"
177,"Наша белочка с нами уже 6 лет, менять пока не собираемся. Когда встал вопрос о том, какую машину можно купить в пределах 6000$, чтобы недорогая в обслуживании и экономичная в бензине, то выбар пал на наш белый Sens. Выбрали именно белый цвет-смотрится очень красиво. Ездили на нем постоянно, ремонтировали редко-настоящаяя лошадка. Из плюсов -в салоне достаточно хороший пластик -удобные сидения -прошла хороший краш тест (показала себя молодцом) -недорогая в обслуживании Из минусов: -движок 1.3 слабоват конечно( пробовала недавно ездить на Ланосе-сразу почувствовала разницу) В общем машинкой очень довольны, но время идет и хочется что-нибудь поновее, хотя и продавать жалко. ","
машина: недорогая в обслуживании, экономичная: положительно 
салон: достаточно хороший пластик: положительно 
сидения: удобные: положительно 
краш тест: прошла хорошо: положительно 
обслуживание: недорогое: положительно 
движок: слабоватый: негативно"
182,"Просторный салон, удобные сидения, хорошая вместимость багажного отдела, красивый, оптикаемый кузов, не дорогой в обслуживании, расход топлива умеренный. ","салон: просторный: положительно 
сидения: удобные: положительно 
багажный отдел: хорошая вместимость: положительно 
кузов: красивый, оптикаемый: положительно 
обслуживание: не дорогое: положительно 
расход топлива: умеренный: положительно"
